Sp2s1a2nf1,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
SU8s1S2a1f8nf1,0.09300205759040701,0.0,0.17464888939784654,0.16803791459292972,0.11780508069279966,0.09041884704658962,0.15772882652213382,0.0,0.07838658552407714
Sp2adj1a2nf4,0.07931808132255443,0.17464888939784654,0.0,0.14965066317144846,0.14671228246864848,0.07806494605435359,0.12487173666320153,0.0,0.12750482924768566
Sp2s2a1nf1,0.06638310063097924,0.16803791459292972,0.14965066317144846,0.0,0.05958747071882366,0.06019761694967461,0.07192211150582824,0.0,0.033020008898459144
SU5s1S1a1A1nf1,0.06296736368063134,0.11780508069279966,0.14671228246864848,0.05958747071882366,0.0,0.06836394978078454,0.09053510334821298,0.0,0.06706593402147501
Sp2s1a1nf2,0.06035532646004631,0.09041884704658962,0.07806494605435359,0.06019761694967461,0.06836394978078454,0.0,0.07932127203676745,0.0,0.06237293255931922
SU5adj1s1A1F8nf0,0.10350857303314555,0.15772882652213382,0.12487173666320153,0.07192211150582824,0.09053510334821298,0.07932127203676745,0.0,0.0,0.04556652984346415
SU3adj1nf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU4adj2a1A1nf1,0.04500329206065148,0.07838658552407714,0.12750482924768566,0.033020008898459144,0.06706593402147501,0.06237293255931922,0.04556652984346415,0.0,0.0

SU4adj2a1A1nf1,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
Sp2s1a2nf1,0.0,0.07675164372712037,0.057439608650958866,0.04175546094247456,0.04765164228382564,0.06066758241067099,0.07208611105759144,0.04500329206065148,0.0
SU8s1S2a1f8nf1,0.07675164372712037,0.0,0.09285199958622589,0.0937295821387316,0.07359121324361127,0.07612732998319573,0.059599071995426654,0.07838658552407714,0.0
Sp2adj1a2nf4,0.057439608650958866,0.09285199958622589,0.0,0.0848219631469277,0.10552771562690105,0.10144395764760894,0.06154552665996004,0.12750482924768566,0.0
Sp2s2a1nf1,0.04175546094247456,0.0937295821387316,0.0848219631469277,0.0,0.05124668010927364,0.042714094010765265,0.0681266975097153,0.033020008898459144,0.0
SU5s1S1a1A1nf1,0.04765164228382564,0.07359121324361127,0.10552771562690105,0.05124668010927364,0.0,0.06984992731334094,0.06767396421149544,0.06706593402147501,0.0
Sp2s1a1nf2,0.06066758241067099,0.07612732998319573,0.10144395764760894,0.042714094010765265,0.06984992731334094,0.0,0.060333333333333336,0.06237293255931922,0.0
SU5adj1s1A1F8nf0,0.07208611105759144,0.059599071995426654,0.06154552665996004,0.0681266975097153,0.06767396421149544,0.060333333333333336,0.0,0.04556652984346415,0.0
SU3adj1nf2,0.04500329206065148,0.07838658552407714,0.12750482924768566,0.033020008898459144,0.06706593402147501,0.06237293255931922,0.04556652984346415,0.0,0.0
SU4adj2a1A1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

