Sp3a3nf1,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp3a3nf1,0.0,0.04659730294743794,0.05501077335563631,0.07592304420908917,0.06266321897529427,0.053118665199650805,0.044175435886954974,0.0,0.053587473199905755
SU5adj1s1A1F8nf0,0.04659730294743794,0.0,0.05200949580914034,0.09639809434108432,0.06311815297177113,0.05948015542085351,0.05956436502009329,0.0,0.08391831713408751
SU5adj1a2A2nf1,0.05501077335563631,0.05200949580914034,0.0,0.0883456315687649,0.06115109802876361,0.06388927536114994,0.050568252373877305,0.0,0.059139926142983384
SU5s1S1a1A1nf1,0.07592304420908917,0.09639809434108432,0.0883456315687649,0.0,0.041042585532109134,0.06580226646252346,0.03298428357510533,0.0,0.05256682989241668
Sp2adj1a2nf4,0.06266321897529427,0.06311815297177113,0.06115109802876361,0.041042585532109134,0.0,0.04033440463835885,0.044643443382394205,0.0,0.07717424568812359
Sp2s1a1nf2,0.053118665199650805,0.05948015542085351,0.06388927536114994,0.06580226646252346,0.04033440463835885,0.0,0.031164438423020278,0.0,0.040531042820272534
SU8s1S2a1f8nf1,0.044175435886954974,0.05956436502009329,0.050568252373877305,0.03298428357510533,0.044643443382394205,0.031164438423020278,0.0,0.0,0.06591277438524716
SU4adj2a1A1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU3adj1nf3,0.053587473199905755,0.08391831713408751,0.059139926142983384,0.05256682989241668,0.07717424568812359,0.040531042820272534,0.06591277438524716,0.0,0.0

SU3adj1nf3,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp3a3nf1,0.0,0.048390005089817806,0.04407961371971189,0.059314603785427265,0.039723737344841754,0.03561730748656603,0.05475884279454352,0.053587473199905755,0.0
SU5adj1s1A1F8nf0,0.048390005089817806,0.0,0.058100487662898895,0.04425013078030475,0.07741383102887948,0.04291090396405493,0.058292684249715565,0.08391831713408751,0.0
SU5adj1a2A2nf1,0.04407961371971189,0.058100487662898895,0.0,0.053189156975393836,0.0503758711593331,0.033017204643475434,0.0653049825108371,0.059139926142983384,0.0
SU5s1S1a1A1nf1,0.059314603785427265,0.04425013078030475,0.053189156975393836,0.0,0.040800024207206576,0.04130823610819482,0.04677289496817257,0.05256682989241668,0.0
Sp2adj1a2nf4,0.039723737344841754,0.07741383102887948,0.0503758711593331,0.040800024207206576,0.0,0.04233916553584406,0.057276134258131946,0.07717424568812359,0.0
Sp2s1a1nf2,0.03561730748656603,0.04291090396405493,0.033017204643475434,0.04130823610819482,0.04233916553584406,0.0,0.0449009884683188,0.040531042820272534,0.0
SU8s1S2a1f8nf1,0.05475884279454352,0.058292684249715565,0.0653049825108371,0.04677289496817257,0.057276134258131946,0.0449009884683188,0.0,0.06591277438524716,0.0
SU4adj2a1A1nf1,0.053587473199905755,0.08391831713408751,0.059139926142983384,0.05256682989241668,0.07717424568812359,0.040531042820272534,0.06591277438524716,0.0,0.0
SU3adj1nf3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

