SU5adj1a2A2nf1,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1a2A2nf1,0.0,0.666,0.5908888888888889,0.6022222222222222,0.5381111111111111,0.5741111111111112,0.5582222222222222,0.0,0.4804444444444445
SU6s2S2nf1,0.666,0.0,0.639,0.4647777777777778,0.6414444444444445,0.6054444444444443,0.5654444444444444,0.0,0.49522222222222223
SU5adj1s1A1F8nf0,0.5908888888888889,0.639,0.0,0.6423333333333332,0.5567777777777778,0.5284444444444446,0.609,0.0,0.5035555555555555
SU3adj1nf2,0.6022222222222222,0.4647777777777778,0.6423333333333332,0.0,0.5963333333333334,0.5914444444444444,0.5591111111111111,0.0,0.5164444444444445
SU5s1S1a1A1nf1,0.5381111111111111,0.6414444444444445,0.5567777777777778,0.5963333333333334,0.0,0.4844444444444445,0.4965555555555556,0.0,0.49277777777777776
Sp2adj1a2nf4,0.5741111111111112,0.6054444444444443,0.5284444444444446,0.5914444444444444,0.4844444444444445,0.0,0.43933333333333324,0.0,0.451
Sp2s1a1nf2,0.5582222222222222,0.5654444444444444,0.609,0.5591111111111111,0.4965555555555556,0.43933333333333324,0.0,0.0,0.486
SU8s1S2a1f8nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU4adj2a1A1nf1,0.4804444444444445,0.49522222222222223,0.5035555555555555,0.5164444444444445,0.49277777777777776,0.451,0.486,0.0,0.0

SU4adj2a1A1nf1,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1a2A2nf1,0.0,0.5646666666666667,0.45,0.5333333333333333,0.4691111111111111,0.46399999999999997,0.47844444444444434,0.4804444444444445,0.0
SU6s2S2nf1,0.5646666666666667,0.0,0.5556666666666668,0.4401111111111111,0.5711111111111111,0.5464444444444445,0.5165555555555555,0.49522222222222223,0.0
