Sp2adj1a2nf4,Sp2adj1a2nf4,SU5adj1a2A2nf1,SU3adj1nf3,Sp2s1a1nf2,SU3adj1nf2,SU4adj2a1A1nf1,SU8s1S2a1f8nf1,SU5adj1s1A1F8nf0
SU3adj1nf2,0.11031990519159034,0.06572680081731509,0.061157154371865585,0.06606291427098344,0.0,0.08181015361535451,0.0,0.05804383188378492
SU4adj2a1A1nf1,0.1216668696091661,0.06678840736254077,0.13564223094160172,0.11739818283658965,0.08181015361535451,0.0,0.0,0.0770144286625709
SU8s1S2a1f8nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5adj1s1A1F8nf0,0.09103824999945333,0.048524526062905866,0.047347024623948034,0.045440097591618385,0.05804383188378492,0.0770144286625709,0.0,0.0

SU5adj1s1A1F8nf0,Sp2adj1a2nf4,SU5adj1a2A2nf1,SU3adj1nf3,Sp2s1a1nf2,SU3adj1nf2,SU4adj2a1A1nf1,SU8s1S2a1f8nf1,SU5adj1s1A1F8nf0
Sp2adj1a2nf4,0.0,0.07120384578322289,0.05651395544902009,0.06914075819980892,0.0803560748508294,0.06798774399355617,0.09103824999945333,0.0
SU5adj1a2A2nf1,0.07120384578322289,0.0,0.07313854601767966,0.06222509913984037,0.07434994001508619,0.0625516083222782,0.048524526062905866,0.0
SU3adj1nf3,0.05651395544902009,0.07313854601767966,0.0,0.06413719862071918,0.07627889049928865,0.06907903864593741,0.047347024623948034,0.0
Sp2s1a1nf2,0.06914075819980892,0.06222509913984037,0.06413719862071918,0.0,0.07145437981720734,0.07078126626672475,0.045440097591618385,0.0
SU3adj1nf2,0.0803560748508294,0.07434994001508619,0.07627889049928865,0.07145437981720734,0.0,0.09955059511451612,0.05804383188378492,0.0
SU4adj2a1A1nf1,0.06798774399355617,0.0625516083222782,0.06907903864593741,0.07078126626672475,0.09955059511451612,0.0,0.0770144286625709,0.0
SU8s1S2a1f8nf1,0.09103824999945333,0.048524526062905866,0.047347024623948034,0.045440097591618385,0.05804383188378492,0.0770144286625709,0.0,0.0
SU5adj1s1A1F8nf0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

